"11404る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计",
"114/04/01","20,884.53","21,315.52","20,884.53","21,280.17",
"114/04/02","21,313.77","21,390.52","21,235.99","21,298.22",
"114/04/07","20,153.57","20,153.57","19,212.02","19,232.35",
"114/04/08","19,064.47","19,064.47","18,180.48","18,459.95",
"114/04/09","18,337.44","18,371.52","17,306.97","17,391.76",
"114/04/10","18,256.47","19,024.47","18,256.47","19,000.03",
"114/04/11","18,772.50","19,528.77","18,418.20","19,528.77",
"114/04/14","19,686.68","20,023.63","19,508.93","19,513.09",
"114/04/15","19,609.90","19,895.43","19,576.15","19,857.67",
"114/04/16","19,737.09","19,737.09","19,453.14","19,468.00",
"114/04/17","19,389.52","19,478.00","19,196.47","19,338.73",
"114/04/18","19,423.98","19,499.28","19,376.35","19,395.03",
"114/04/21","19,321.14","19,359.96","19,080.60","19,106.20",
"114/04/22","18,990.86","19,059.65","18,793.43","18,793.43",
"114/04/23","19,163.61","19,639.14","19,163.61","19,639.14",
"114/04/24","19,752.59","19,752.59","19,433.37","19,478.81",
"114/04/25","19,861.24","20,012.27","19,861.24","19,872.73",
"114/04/28","19,972.07","20,073.75","19,972.07","20,034.41",
"114/04/29","20,018.32","20,232.63","20,007.30","20,232.63",
"114/04/30","20,215.39","20,331.89","20,185.31","20,235.03",
